DATE                      R50                 R100                R200
2017-03-23  4.149333238602E-01  4.994594454765E-01  6.012478470802E-01
2017-03-24  4.282666742802E-01  5.005405545235E-01  6.065759658813E-01
2017-03-27  4.410666525364E-01  5.124324560165E-01  6.145124435425E-01
2017-03-28  4.562899768353E-01  5.272825360298E-01  6.275510191917E-01
2017-03-29  4.837506711483E-01  5.302375555038E-01  6.388888955116E-01
2017-03-30  5.199787020683E-01  5.634106993675E-01  6.434240341187E-01
2017-03-31  5.322322845459E-01  5.607123374939E-01  6.536281108856E-01
2017-04-03  4.762919545174E-01  5.258899927139E-01  6.419263482094E-01
2017-04-04  4.635055959225E-01  5.156418681145E-01  6.319365501404E-01
2017-04-05  4.046858251095E-01  4.795037806034E-01  6.087202429771E-01
2017-04-06  4.420212805271E-01  4.962243735790E-01  6.136877536774E-01
2017-04-07  4.500531256199E-01  5.097087621689E-01  6.312217116356E-01
2017-04-10  4.452709853649E-01  4.981132149696E-01  6.141242980957E-01
2017-04-11  4.545937478542E-01  5.121293663979E-01  6.307170987129E-01
2017-04-12  4.007430970669E-01  4.673854410648E-01  5.962733030319E-01
2017-04-13  3.821656107903E-01  4.614555239677E-01  5.855448842049E-01
2017-04-17  4.042440354824E-01  4.789870679379E-01  6.014656424522E-01
2017-04-18  4.005305171013E-01  4.703663885593E-01  5.964024662971E-01
2017-04-19  4.175066351891E-01  4.784482717514E-01  6.070826053619E-01
2017-04-20  4.790450930595E-01  5.231680870056E-01  6.256324052811E-01
2017-04-21  4.753315746784E-01  5.177610516548E-01  6.198764443398E-01
2017-04-24  5.432360768318E-01  5.618945360184E-01  6.473891139030E-01
2017-04-25  5.798408389091E-01  5.812701582909E-01  6.531986594200E-01
2017-04-26  6.055142879486E-01  6.006458401680E-01  6.593714952469E-01
2017-04-27  5.914149284363E-01  5.855758786201E-01  6.524663567543E-01
2017-04-28  5.603813529015E-01  5.645855665207E-01  6.478163599968E-01
2017-05-01  5.572034120560E-01  5.635091662407E-01  6.416573524475E-01
2017-05-02  5.492584705353E-01  5.454545617104E-01  6.435366272926E-01
